"","imdb_rating","metacritic","imdb_votes","Budget","Box.Office.Gross","release.year","release.month","runtime","zachgalifianakis","willarnett","vindiesel","tomhanks","tomcruise","stevecarell","scarlettjohansson","ryanreynolds","robertdowneyjr","ralphfiennes","natalieportman","mattdamon","matthewmcconaughey","markwahlberg","kristenwiig","liamneeson","kristenstewart","kirstendunst","kevinhart","johnnydepp","josephgordonlevitt","johngoodman","jasonbateman","jenniferlawrence","jimcarrey","jamesfranco","hughjackman","harrisonford","gerardbutler","adamsandler","amyadams","angelinajolie","benstiller","bradleycooper","camerondiaz","cateblanchett","chrisevans","chrishemsworth","chrispine","dwaynejohnson","eddiemurphy","emmastone","nomination","oscar","golden globe","award","stevenspielberg","jamescameron","christophernolan","woodyallen","ronhoward","robertzemeckis","stevensoderbergh","dennisdugan","spikelee","oliverstone","peterberg","ridleyscott","anglee","robcohen","timburton","jameswan","michaelbay","clinteastwood","tylerperry","peterjackson","ethancoen,joelcoen","davidlynch","joewright","sofiacoppola","action","adventure","comedy","drama","romance","fantasy","horror","thriller","mystery","scifi","crime","relationship","death","shot","car","female","woman","man","male","police","sex","nudity","blood","gun","murder","hero","father","mother","son","american","daughter","child","wife","fight","school","husband","violence","love","family","dog","war","animal","friendship","teenage","universalpictures","warnerbros.pictures","20thcenturyfox","sonypictures","paramountpictures","waltdisneypictures","focusfeatures","lionsgatefilms","sonypicturesclassics","columbiapictures"
"1",7.2,NA,17801,220000,46585,1965,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",7.8,67,289586,3e+07,238632124,1984,6,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"3",8,95,332843,2.5e+07,218967620,1991,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,2,0,4,1,2,2,0,0,0,0,0,0,2,1,1,1,0,1,0,0,1,0,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"4",8.1,68,665919,6.3e+07,402453882,1993,6,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,1,0,2,2,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"5",8.8,82,1365937,5.5e+07,330252182,1994,7,142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0,3,4,5,4,0,1,2,0,0,0,1,1,6,2,0,0,2,0,1,2,0,0,0,1,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0
"6",7.7,74,847267,2e+08,658672302,1997,12,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,9,3,8,9,7,4,3,0,11,8,0,1,1,1,0,2,0,2,1,1,1,0,0,0,2,9,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0
"7",6.5,51,573249,1.15e+08,474544677,1999,5,136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,0,4,0,2,2,0,0,0,0,3,0,4,0,1,1,1,0,2,0,2,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",6.7,58,290520,3.8e+07,144533925,2001,6,106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,4,16,0,0,1,1,4,3,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"9",7.3,54,250549,9e+07,58236838,2013,12,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"10",6.5,57,94235,2.8e+07,26307600,2014,9,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,10,9,2,2,0,0,0,2,0,2,3,3,2,2,1,1,0,0,2,4,4,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",7,59,458076,1.5e+08,652270625,2015,6,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,9,5,2,1,0,1,1,0,0,0,0,4,2,0,2,0,1,1,1,0,2,1,2,0,1,1,1,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0
"12",6.2,56,89627,4.5e+07,13100042,2011,10,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",6,53,44680,3.6e+07,99967670,2011,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",6.7,42,130873,6.5e+07,43818839,2010,1,135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,5,0,2,2,0,2,0,2,0,0,2,0,4,0,2,2,2,0,3,8,1,0,3,1,0,2,1,1,0,1,0,5,0,0,0,0,1,0,0,0,0,0
